#Doc,Entidad,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,C13,C14,C15
2,Customer Response Message
3,Information Uri Method
3,Information Uri Method Port Type
5,Event Request Message
5,Event Response Message
8,Data Police UK
8,Location Request Message
8,Location Response Message
8,Updated Response Message
8,ASpecific Crime Request Message
8,ASpecific Crime Response Message
8,Level Crimes Response Message
9,Census Data
9,Census Data Port Type census Data Request Message
10,Analysis Request Message sentiment Analysis Response Message
11,Smart Queue Service
12,VRoutes Tripid Response Message
12,VStats Starttime Starttime Endtime Endtime Response Message
12,VUser Trips Starttime Starttime Endtime Endtime Response Message
13,New Request
14,Phone Request Message new Phone Response Message new Phone
15,SDL Language Cloud
15,SDL Machine Translation
15,Languages Request Message get Languages Response Message
16,Authentication India Factor
16,Factor Authentication Phone
16,Authentication India Port Type
16,Voice Balance Request Message
16,Voice Balance Response Message
16,Voice Balance
16,Sms Otp Request Message
16,Sms Otp Response Message
16,Sms Otp
16,Voice Otp Request Message
16,Voice Otp Response Message
16,Voice Otp
20,Request Message
22,Categories Request Message has Categories Response Message
22,Instances Request Message has Instances Response Message
22,Parts Request Message has Parts Response Message
22,Usages Request Message has Usages Response Message
22,Region Response Message in Region
22,AType Of Response Message
22,Instance Of Request Message
22,Instance Of Response Message
22,Of Response Message
25,Sony Vizio Tickets com Oakley Sephora
25,Fraud Prevention Lead Verification
25,Person Request Message
25,Person Response Message
26,Stock Exchange,An exchange where security trading is conducted by professional stockbrokers,"Securities market is a component of the wider financial market where securities can be bought and sold between subjects of the economy, on the basis of demand and supply.","A stock exchange is a form of exchange which provides services for stock brokers and traders to buy or sell stocks, bonds, and other securities.",A stock market or equity market is the aggregation of buyers and sellers of stocks ; these may include securities listed on a stock exchange as well as those only traded privately.,Stock market,A market for the trading of company stock.,"A stock market is a market for the trading of company stock, and derivatives of same; both of these are securities listed on a stock exchange as well as those only traded privately.",Market for the trading of company stock.,"The Paris Bourse is the historical Paris stock exchange, known as Euronext Paris from 2000 onwards.",Historical Paris stock exchange,"""Stock Exchange"" is the third single from the duo Miss Kittin & The Hacker's debut album First Album."
26,Stock Exchange Port Type get Scrip Details
